City,Country,Scraping Link,Location,translated_original,translated_mymemory
Tarso,Colombia,,Tarso Colombia,nan,nan
Titiribí,Colombia,,Titiribí Colombia,nan,nan
Toledo,Colombia,,Toledo Colombia,nan,nan
Turbo,Colombia,,Turbo Colombia,nan,nan
Uramita,Colombia,,Uramita Colombia,nan,nan
Urrao,Colombia,,Urrao Colombia,nan,nan
Valdivia,Colombia,,Valdivia Colombia,nan,nan
Valparaíso,Colombia,,Valparaíso Colombia,nan,nan
Vegachí,Colombia,,Vegachí Colombia,nan,nan
Venecia,Colombia,,Venecia Colombia,nan,nan
Vigía del Fuerte,Colombia,,Vigía del Fuerte Colombia,nan,nan
Yalí,Colombia,,Yalí Colombia,nan,nan
Yarumal,Colombia,,Yarumal Colombia,nan,nan
Yolombó,Colombia,,Yolombó Colombia,nan,nan
Yondó,Colombia,,Yondó Colombia,nan,nan
Zaragoza,Colombia,,Zaragoza Colombia,nan,nan
Arauca,Colombia,,Arauca Colombia,nan,nan
Arauquita,Colombia,,Arauquita Colombia,nan,nan
Cravo Norte,Colombia,,Cravo Norte Colombia,nan,nan
Fortul,Colombia,,Fortul Colombia,nan,nan
Puerto Rondón,Colombia,,Puerto Rondón Colombia,nan,nan
Saravena,Colombia,,Saravena Colombia,nan,nan
Tame,Colombia,,Tame Colombia,nan,nan
Barranquilla,Colombia,,Barranquilla Colombia,nan,nan
Baranoa,Colombia,,Baranoa Colombia,nan,nan
Campo de La Cruz,Colombia,,Campo de La Cruz Colombia,nan,nan
Candelaria,Colombia,,Candelaria Colombia,nan,nan
Galapa,Colombia,,Galapa Colombia,nan,nan
Juan de Acosta,Colombia,,Juan de Acosta Colombia,nan,nan
Luruaco,Colombia,,Luruaco Colombia,nan,nan
Malambo,Colombia,,Malambo Colombia,nan,nan
Manatí,Colombia,,Manatí Colombia,nan,nan
Palmar de Varela,Colombia,,Palmar de Varela Colombia,nan,nan
Piojó,Colombia,,Piojó Colombia,nan,nan
Polonuevo,Colombia,,Polonuevo Colombia,nan,nan
Ponedera,Colombia,,Ponedera Colombia,nan,nan
Puerto Colombia,Colombia,,Puerto Colombia Colombia,nan,nan
Repelón,Colombia,,Repelón Colombia,nan,nan
Sabanagrande,Colombia,,Sabanagrande Colombia,nan,nan
Santa Lucía,Colombia,,Santa Lucía Colombia,nan,nan
Santo Tomás,Colombia,,Santo Tomás Colombia,nan,nan
Soledad,Colombia,,Soledad Colombia,nan,nan
Suán,Colombia,,Suán Colombia,nan,nan
Tubará,Colombia,,Tubará Colombia,nan,nan
Usiacurí,Colombia,,Usiacurí Colombia,nan,nan
Cartagena,Colombia,,Cartagena Colombia,nan,nan
Achí,Colombia,,Achí Colombia,nan,nan
Altos del Rosario,Colombia,,Altos del Rosario Colombia,nan,nan
Arenal del Sur,Colombia,,Arenal del Sur Colombia,nan,nan
Arjona,Colombia,,Arjona Colombia,nan,nan
Arroyohondo,Colombia,,Arroyohondo Colombia,nan,nan
Barranco de Loba,Colombia,,Barranco de Loba Colombia,nan,nan
Calamar,Colombia,,Calamar Colombia,nan,nan
Cantagallo,Colombia,,Cantagallo Colombia,nan,nan
Carmen de Bolivar,Colombia,,Carmen de Bolivar Colombia,nan,nan
Cicuco,Colombia,,Cicuco Colombia,nan,nan
Clemencia,Colombia,,Clemencia Colombia,nan,nan
Córdoba,Colombia,,Córdoba Colombia,nan,nan
El Guamo,Colombia,,El Guamo Colombia,nan,nan
El Peñón,Colombia,,El Peñón Colombia,nan,nan
Hatillo de Loba,Colombia,,Hatillo de Loba Colombia,nan,nan
Magangué,Colombia,,Magangué Colombia,nan,nan
Mahates,Colombia,,Mahates Colombia,nan,nan
Margarita,Colombia,,Margarita Colombia,nan,nan
María La Baja,Colombia,,María La Baja Colombia,nan,nan
Montecristo,Colombia,,Montecristo Colombia,nan,nan
Morales,Colombia,,Morales Colombia,nan,nan
Pinillos,Colombia,,Pinillos Colombia,nan,nan
Regidor,Colombia,,Regidor Colombia,nan,nan
Río Viejo,Colombia,,Río Viejo Colombia,nan,nan
San Cristóbal,Colombia,,San Cristóbal Colombia,nan,nan
San Estanislao,Colombia,,San Estanislao Colombia,nan,nan
San Fernando,Colombia,,San Fernando Colombia,nan,nan
San Jacinto del Cauca,Colombia,,San Jacinto del Cauca Colombia,nan,nan
San Jacinto,Colombia,,San Jacinto Colombia,nan,nan
San Juan Nepomuceno,Colombia,,San Juan Nepomuceno Colombia,nan,nan
San Martín de Loba,Colombia,,San Martín de Loba Colombia,nan,nan
San Pablo,Colombia,,San Pablo Colombia,nan,nan
Santa Catalina,Colombia,,Santa Catalina Colombia,nan,nan
Santa Cruz de Mompox,Colombia,,Santa Cruz de Mompox Colombia,nan,nan
Santa Rosa del Sur,Colombia,,Santa Rosa del Sur Colombia,nan,nan
Santa Rosa,Colombia,,Santa Rosa Colombia,nan,nan
Simití,Colombia,,Simití Colombia,nan,nan
Soplaviento,Colombia,,Soplaviento Colombia,nan,nan
Talaigua Nuevo,Colombia,,Talaigua Nuevo Colombia,nan,nan
Tiquisio,Colombia,,Tiquisio Colombia,nan,nan
Turbaco,Colombia,,Turbaco Colombia,nan,nan
Turbaná,Colombia,,Turbaná Colombia,nan,nan
Villanueva,Colombia,,Villanueva Colombia,nan,nan
Zambrano,Colombia,,Zambrano Colombia,nan,nan
Tunja,Colombia,,Tunja Colombia,nan,nan
Almeida,Colombia,,Almeida Colombia,nan,nan
Aquitania,Colombia,,Aquitania Colombia,nan,nan
Arcabuco,Colombia,,Arcabuco Colombia,nan,nan
Belén,Colombia,,Belén Colombia,nan,nan
Berbeo,Colombia,,Berbeo Colombia,nan,nan
Betéitiva,Colombia,,Betéitiva Colombia,nan,nan
Boavita,Colombia,,Boavita Colombia,nan,nan
Boyacá,Colombia,,Boyacá Colombia,nan,nan
Buenavista,Colombia,,Buenavista Colombia,nan,nan
Busbanzá,Colombia,,Busbanzá Colombia,nan,nan
Campohermoso,Colombia,,Campohermoso Colombia,nan,nan
Cerinza,Colombia,,Cerinza Colombia,nan,nan
Chinavita,Colombia,,Chinavita Colombia,nan,nan
Chiquinquirá,Colombia,,Chiquinquirá Colombia,nan,nan
Chíquiza,Colombia,,Chíquiza Colombia,nan,nan
Chiscas,Colombia,,Chiscas Colombia,nan,nan
Chita,Colombia,,Chita Colombia,nan,nan
Chitaraque,Colombia,,Chitaraque Colombia,nan,nan
Chivatá,Colombia,,Chivatá Colombia,nan,nan
Chivor,Colombia,,Chivor Colombia,nan,nan
Ciénega,Colombia,,Ciénega Colombia,nan,nan
Cómbita,Colombia,,Cómbita Colombia,nan,nan
Coper,Colombia,,Coper Colombia,nan,nan
Corrales,Colombia,,Corrales Colombia,nan,nan
Covarachía,Colombia,,Covarachía Colombia,nan,nan
Cubará,Colombia,,Cubará Colombia,nan,nan
Cucaita,Colombia,,Cucaita Colombia,nan,nan
Cuítiva,Colombia,,Cuítiva Colombia,nan,nan
Duitama,Colombia,,Duitama Colombia,nan,nan
El Cocuy,Colombia,,El Cocuy Colombia,nan,nan
El Espino,Colombia,,El Espino Colombia,nan,nan
Firavitoba,Colombia,,Firavitoba Colombia,nan,nan
Floresta,Colombia,,Floresta Colombia,nan,nan
Gachantivá,Colombia,,Gachantivá Colombia,nan,nan
Gámeza,Colombia,,Gámeza Colombia,nan,nan
Garagoa,Colombia,,Garagoa Colombia,nan,nan
Guacamayas,Colombia,,Guacamayas Colombia,nan,nan
Guateque,Colombia,,Guateque Colombia,nan,nan
Guayatá,Colombia,,Guayatá Colombia,nan,nan
Güicán,Colombia,,Güicán Colombia,nan,nan
Iza,Colombia,,Iza Colombia,nan,nan
Jenesano,Colombia,,Jenesano Colombia,nan,nan
La Capilla,Colombia,,La Capilla Colombia,nan,nan
La Uvita,Colombia,,La Uvita Colombia,nan,nan
Labranzagrande,Colombia,,Labranzagrande Colombia,nan,nan
Macanal,Colombia,,Macanal Colombia,nan,nan
Maripí,Colombia,,Maripí Colombia,nan,nan
Miraflores,Colombia,,Miraflores Colombia,nan,nan
Mongua,Colombia,,Mongua Colombia,nan,nan
Monguí,Colombia,,Monguí Colombia,nan,nan
Moniquirá,Colombia,,Moniquirá Colombia,nan,nan
Motavita,Colombia,,Motavita Colombia,nan,nan
Muzo,Colombia,,Muzo Colombia,nan,nan
Nobsa,Colombia,,Nobsa Colombia,nan,nan
Nuevo Colón,Colombia,,Nuevo Colón Colombia,nan,nan
Oicatá,Colombia,,Oicatá Colombia,nan,nan
Otanche,Colombia,,Otanche Colombia,nan,nan
Pachavita,Colombia,,Pachavita Colombia,nan,nan
Páez,Colombia,,Páez Colombia,nan,nan
Paipa,Colombia,,Paipa Colombia,nan,nan
Pajarito,Colombia,,Pajarito Colombia,nan,nan
Panqueba,Colombia,,Panqueba Colombia,nan,nan
Pauna,Colombia,,Pauna Colombia,nan,nan
Paya,Colombia,,Paya Colombia,nan,nan
Paz de Río,Colombia,,Paz de Río Colombia,nan,nan
Pesca,Colombia,,Pesca Colombia,nan,nan
Pisba,Colombia,,Pisba Colombia,nan,nan
Puerto Boyacá,Colombia,,Puerto Boyacá Colombia,nan,nan
Quípama,Colombia,,Quípama Colombia,nan,nan
Ramiriquí,Colombia,,Ramiriquí Colombia,nan,nan
Ráquira,Colombia,,Ráquira Colombia,nan,nan
Rondón,Colombia,,Rondón Colombia,nan,nan
Saboyá,Colombia,,Saboyá Colombia,nan,nan
Sáchica,Colombia,,Sáchica Colombia,nan,nan
Samacá,Colombia,,Samacá Colombia,nan,nan
San Eduardo,Colombia,,San Eduardo Colombia,nan,nan
San José de Pare,Colombia,,San José de Pare Colombia,nan,nan
San Luis de Gaceno,Colombia,,San Luis de Gaceno Colombia,nan,nan
San Mateo,Colombia,,San Mateo Colombia,nan,nan
San Miguel de Sema,Colombia,,San Miguel de Sema Colombia,nan,nan
San Pablo de Borbur,Colombia,,San Pablo de Borbur Colombia,nan,nan
Santa María,Colombia,,Santa María Colombia,nan,nan
Santa Rosa de Viterbo,Colombia,,Santa Rosa de Viterbo Colombia,nan,nan
Santa Sofía,Colombia,,Santa Sofía Colombia,nan,nan
Santana,Colombia,,Santana Colombia,nan,nan
Sativanorte,Colombia,,Sativanorte Colombia,nan,nan
Sativasur,Colombia,,Sativasur Colombia,nan,nan
Siachoque,Colombia,,Siachoque Colombia,nan,nan
Soatá,Colombia,,Soatá Colombia,nan,nan
Socha,Colombia,,Socha Colombia,nan,nan
Socotá,Colombia,,Socotá Colombia,nan,nan
Sogamoso,Colombia,,Sogamoso Colombia,nan,nan
Somondoco,Colombia,,Somondoco Colombia,nan,nan
Sora,Colombia,,Sora Colombia,nan,nan
Soracá,Colombia,,Soracá Colombia,nan,nan
Sotaquirá,Colombia,,Sotaquirá Colombia,nan,nan
Susacón,Colombia,,Susacón Colombia,nan,nan
Sutamarchán,Colombia,,Sutamarchán Colombia,nan,nan
Sutatenza,Colombia,,Sutatenza Colombia,nan,nan
Tasco,Colombia,,Tasco Colombia,nan,nan
Tenza,Colombia,,Tenza Colombia,nan,nan
Tibaná,Colombia,,Tibaná Colombia,nan,nan
Tibasosa,Colombia,,Tibasosa Colombia,nan,nan
Tinjacá,Colombia,,Tinjacá Colombia,nan,nan
Tipacoque,Colombia,,Tipacoque Colombia,nan,nan
Toca,Colombia,,Toca Colombia,nan,nan
Togüí,Colombia,,Togüí Colombia,nan,nan
Tópaga,Colombia,,Tópaga Colombia,nan,nan
Tota,Colombia,,Tota Colombia,nan,nan
Tununguá,Colombia,,Tununguá Colombia,nan,nan
Turmequé,Colombia,,Turmequé Colombia,nan,nan
Tuta,Colombia,,Tuta Colombia,nan,nan
Tutazá,Colombia,,Tutazá Colombia,nan,nan
Úmbita,Colombia,,Úmbita Colombia,nan,nan
Ventaquemada,Colombia,,Ventaquemada Colombia,nan,nan
Villa de Leyva,Colombia,,Villa de Leyva Colombia,nan,nan
Viracachá,Colombia,,Viracachá Colombia,nan,nan
Zetaquira,Colombia,,Zetaquira Colombia,nan,nan
Manizales,Colombia,,Manizales Colombia,nan,nan
Aguadas,Colombia,,Aguadas Colombia,nan,nan
Anserma,Colombia,,Anserma Colombia,nan,nan
Aranzazu,Colombia,,Aranzazu Colombia,nan,nan
Belalcázar,Colombia,,Belalcázar Colombia,nan,nan
Chinchiná,Colombia,,Chinchiná Colombia,nan,nan
Filadelfia,Colombia,,Filadelfia Colombia,nan,nan
La Dorada,Colombia,,La Dorada Colombia,nan,nan
La Merced,Colombia,,La Merced Colombia,nan,nan
Manzanares,Colombia,,Manzanares Colombia,nan,nan
Marmato,Colombia,,Marmato Colombia,nan,nan
Marquetalia,Colombia,,Marquetalia Colombia,nan,nan
Marulanda,Colombia,,Marulanda Colombia,nan,nan
Neira,Colombia,,Neira Colombia,nan,nan
Norcasia,Colombia,,Norcasia Colombia,nan,nan
Pácora,Colombia,,Pácora Colombia,nan,nan
Palestina,Colombia,,Palestina Colombia,nan,nan
Pensilvania,Colombia,,Pensilvania Colombia,nan,nan
Riosucio,Colombia,,Riosucio Colombia,nan,nan
Risaralda,Colombia,,Risaralda Colombia,nan,nan
Salamina,Colombia,,Salamina Colombia,nan,nan
Samaná,Colombia,,Samaná Colombia,nan,nan
San José,Colombia,,San José Colombia,nan,nan
Supía,Colombia,,Supía Colombia,nan,nan
Victoria,Colombia,,Victoria Colombia,nan,nan
Villamaría,Colombia,,Villamaría Colombia,nan,nan
Viterbo,Colombia,,Viterbo Colombia,nan,nan
Florencia,Colombia,,Florencia Colombia,nan,nan
Albania,Colombia,,Albania Colombia,nan,nan
Belén de Andaquies,Colombia,,Belén de Andaquies Colombia,nan,nan
Cartagena del Chairá,Colombia,,Cartagena del Chairá Colombia,nan,nan
Curillo,Colombia,,Curillo Colombia,nan,nan
El Doncello,Colombia,,El Doncello Colombia,nan,nan
El Paujil,Colombia,,El Paujil Colombia,nan,nan
La Montañita,Colombia,,La Montañita Colombia,nan,nan
Milán,Colombia,,Milán Colombia,nan,nan
Morelia,Colombia,,Morelia Colombia,nan,nan
Puerto Rico,Colombia,,Puerto Rico Colombia,nan,nan
San José del Fragua,Colombia,,San José del Fragua Colombia,nan,nan
San Vicente del Caguán,Colombia,,San Vicente del Caguán Colombia,nan,nan
Solano,Colombia,,Solano Colombia,nan,nan
Solita,Colombia,,Solita Colombia,nan,nan
Yopal,Colombia,,Yopal Colombia,nan,nan
Aguazul,Colombia,,Aguazul Colombia,nan,nan
Chámeza,Colombia,,Chámeza Colombia,nan,nan
Hato Corozal,Colombia,,Hato Corozal Colombia,nan,nan
La Salina,Colombia,,La Salina Colombia,nan,nan
Maní,Colombia,,Maní Colombia,nan,nan
Monterrey,Colombia,,Monterrey Colombia,nan,nan
Nunchía,Colombia,,Nunchía Colombia,nan,nan
Orocué,Colombia,,Orocué Colombia,nan,nan
Paz de Ariporo,Colombia,,Paz de Ariporo Colombia,nan,nan
Pore,Colombia,,Pore Colombia,nan,nan
Recetor,Colombia,,Recetor Colombia,nan,nan
Sácama,Colombia,,Sácama Colombia,nan,nan
San Luis de Palenque,Colombia,,San Luis de Palenque Colombia,nan,nan
Támara,Colombia,,Támara Colombia,nan,nan
Tauramena,Colombia,,Tauramena Colombia,nan,nan
Trinidad,Colombia,,Trinidad Colombia,nan,nan
Popayán,Colombia,,Popayán Colombia,nan,nan
Almaguer,Colombia,,Almaguer Colombia,nan,nan
Balboa,Colombia,,Balboa Colombia,nan,nan
Bolívar,Colombia,,Bolívar Colombia,nan,nan
Buenos Aires,Colombia,,Buenos Aires Colombia,nan,nan
Cajibio,Colombia,,Cajibio Colombia,nan,nan
Caldono,Colombia,,Caldono Colombia,nan,nan
Caloto,Colombia,,Caloto Colombia,nan,nan
Corinto,Colombia,,Corinto Colombia,nan,nan
El Tambo,Colombia,,El Tambo Colombia,nan,nan
Guapi,Colombia,,Guapi Colombia,nan,nan
Inzá,Colombia,,Inzá Colombia,nan,nan
Jambaló,Colombia,,Jambaló Colombia,nan,nan
La Sierra,Colombia,,La Sierra Colombia,nan,nan
La Vega,Colombia,,La Vega Colombia,nan,nan
López de Micay,Colombia,,López de Micay Colombia,nan,nan
Mercaderes,Colombia,,Mercaderes Colombia,nan,nan
Miranda,Colombia,,Miranda Colombia,nan,nan
Padilla,Colombia,,Padilla Colombia,nan,nan
Patía,Colombia,,Patía Colombia,nan,nan
Piamonte,Colombia,,Piamonte Colombia,nan,nan
Piendamó,Colombia,,Piendamó Colombia,nan,nan
Puerto Tejada,Colombia,,Puerto Tejada Colombia,nan,nan
Puracé,Colombia,,Puracé Colombia,nan,nan
Rosas,Colombia,,Rosas Colombia,nan,nan
San Sebastián,Colombia,,San Sebastián Colombia,nan,nan
Santander de Quilichao,Colombia,,Santander de Quilichao Colombia,nan,nan
Silvia,Colombia,,Silvia Colombia,nan,nan
Sotara,Colombia,,Sotara Colombia,nan,nan
Suárez,Colombia,,Suárez Colombia,nan,nan
Sucre,Colombia,,Sucre Colombia,nan,nan
Timbío,Colombia,,Timbío Colombia,nan,nan
Timbiquí,Colombia,,Timbiquí Colombia,nan,nan
Toribio,Colombia,,Toribio Colombia,nan,nan
Totoró,Colombia,,Totoró Colombia,nan,nan
Villa Rica,Colombia,,Villa Rica Colombia,nan,nan
Valledupar,Colombia,,Valledupar Colombia,nan,nan
Aguachica,Colombia,,Aguachica Colombia,nan,nan
Agustín Codazzi,Colombia,,Agustín Codazzi Colombia,nan,nan
Astrea,Colombia,,Astrea Colombia,nan,nan
Becerril,Colombia,,Becerril Colombia,nan,nan
Bosconia,Colombia,,Bosconia Colombia,nan,nan
Chimichagua,Colombia,,Chimichagua Colombia,nan,nan
Chiriguaná,Colombia,,Chiriguaná Colombia,nan,nan
Curumaní,Colombia,,Curumaní Colombia,nan,nan
El Copey,Colombia,,El Copey Colombia,nan,nan
El Paso,Colombia,,El Paso Colombia,nan,nan
Gamarra,Colombia,,Gamarra Colombia,nan,nan
González,Colombia,,González Colombia,nan,nan
La Gloria,Colombia,,La Gloria Colombia,nan,nan
La Jagua de Ibirico,Colombia,,La Jagua de Ibirico Colombia,nan,nan
La Paz,Colombia,,La Paz Colombia,nan,nan
Manaure,Colombia,,Manaure Colombia,nan,nan
Pailitas,Colombia,,Pailitas Colombia,nan,nan
Pelaya,Colombia,,Pelaya Colombia,nan,nan
Pueblo Bello,Colombia,,Pueblo Bello Colombia,nan,nan
Río de Oro,Colombia,,Río de Oro Colombia,nan,nan
San Alberto,Colombia,,San Alberto Colombia,nan,nan
San Diego,Colombia,,San Diego Colombia,nan,nan
San Martín,Colombia,,San Martín Colombia,nan,nan
Tamalameque,Colombia,,Tamalameque Colombia,nan,nan
Quibdó,Colombia,,Quibdó Colombia,nan,nan
Acandí,Colombia,,Acandí Colombia,nan,nan
Alto Baudó,Colombia,,Alto Baudó Colombia,nan,nan
Atrato,Colombia,,Atrato Colombia,nan,nan
Bagadó,Colombia,,Bagadó Colombia,nan,nan
Bahía Solano,Colombia,,Bahía Solano Colombia,nan,nan
Bajo Baudó,Colombia,,Bajo Baudó Colombia,nan,nan
Belén de Bajirá,Colombia,,Belén de Bajirá Colombia,nan,nan
Bojayá,Colombia,,Bojayá Colombia,nan,nan
El Carmen de Atrato,Colombia,,El Carmen de Atrato Colombia,nan,nan
El Carmen del Darién,Colombia,,El Carmen del Darién Colombia,nan,nan
Cértegui,Colombia,,Cértegui Colombia,nan,nan
Condoto,Colombia,,Condoto Colombia,nan,nan
El Cantón de San Pablo,Colombia,,El Cantón de San Pablo Colombia,nan,nan
Istmina,Colombia,,Istmina Colombia,nan,nan
Juradó,Colombia,,Juradó Colombia,nan,nan
Litoral del San Juan,Colombia,,Litoral del San Juan Colombia,nan,nan
Lloró,Colombia,,Lloró Colombia,nan,nan
Medio Atrato,Colombia,,Medio Atrato Colombia,nan,nan
Medio Baudó,Colombia,,Medio Baudó Colombia,nan,nan
Medio San Juan,Colombia,,Medio San Juan Colombia,nan,nan
Nóvita,Colombia,,Nóvita Colombia,nan,nan
Nuquí,Colombia,,Nuquí Colombia,nan,nan
Río Iró,Colombia,,Río Iró Colombia,nan,nan
Río Quito,Colombia,,Río Quito Colombia,nan,nan
San José del Palmar,Colombia,,San José del Palmar Colombia,nan,nan
Sipí,Colombia,,Sipí Colombia,nan,nan
Tadó,Colombia,,Tadó Colombia,nan,nan
Unguía,Colombia,,Unguía Colombia,nan,nan
Unión Panamericana,Colombia,,Unión Panamericana Colombia,nan,nan
Montería,Colombia,,Montería Colombia,nan,nan
Ayapel,Colombia,,Ayapel Colombia,nan,nan
Canalete,Colombia,,Canalete Colombia,nan,nan
Cereté,Colombia,,Cereté Colombia,nan,nan
Chimá,Colombia,,Chimá Colombia,nan,nan
Chinú,Colombia,,Chinú Colombia,nan,nan
Ciénaga de Oro,Colombia,,Ciénaga de Oro Colombia,nan,nan
Cotorra,Colombia,,Cotorra Colombia,nan,nan
La Apartada,Colombia,,La Apartada Colombia,nan,nan
Los Córdobas,Colombia,,Los Córdobas Colombia,nan,nan
Momil,Colombia,,Momil Colombia,nan,nan
Moñitos,Colombia,,Moñitos Colombia,nan,nan
Montelíbano,Colombia,,Montelíbano Colombia,nan,nan
Planeta Rica,Colombia,,Planeta Rica Colombia,nan,nan
Pueblo Nuevo,Colombia,,Pueblo Nuevo Colombia,nan,nan
Puerto Escondido,Colombia,,Puerto Escondido Colombia,nan,nan
Puerto Libertador,Colombia,,Puerto Libertador Colombia,nan,nan
Purísima,Colombia,,Purísima Colombia,nan,nan
Sahagún,Colombia,,Sahagún Colombia,nan,nan
San Andrés de Sotavento,Colombia,,San Andrés de Sotavento Colombia,nan,nan
San Antero,Colombia,,San Antero Colombia,nan,nan
San Bernardo del Viento,Colombia,,San Bernardo del Viento Colombia,nan,nan
San Pelayo,Colombia,,San Pelayo Colombia,nan,nan
Santa Cruz de Lorica,Colombia,,Santa Cruz de Lorica Colombia,nan,nan
Tierralta,Colombia,,Tierralta Colombia,nan,nan
Valencia,Colombia,,Valencia Colombia,nan,nan
Agua de Dios,Colombia,,Agua de Dios Colombia,nan,nan
Albán,Colombia,,Albán Colombia,nan,nan
Anapoima,Colombia,,Anapoima Colombia,nan,nan
Anolaima,Colombia,,Anolaima Colombia,nan,nan
Apulo,Colombia,,Apulo Colombia,nan,nan
Arbeláez,Colombia,,Arbeláez Colombia,nan,nan
Beltrán,Colombia,,Beltrán Colombia,nan,nan
Bituima,Colombia,,Bituima Colombia,nan,nan
Bojacá,Colombia,,Bojacá Colombia,nan,nan
Cabrera,Colombia,,Cabrera Colombia,nan,nan
Cachipay,Colombia,,Cachipay Colombia,nan,nan
Cajicá,Colombia,,Cajicá Colombia,nan,nan
Caparrapí,Colombia,,Caparrapí Colombia,nan,nan
Cáqueza,Colombia,,Cáqueza Colombia,nan,nan
Carmen de Carupa,Colombia,,Carmen de Carupa Colombia,nan,nan
Chaguaní,Colombia,,Chaguaní Colombia,nan,nan
Chía,Colombia,,Chía Colombia,nan,nan
Chipaque,Colombia,,Chipaque Colombia,nan,nan
Choachí,Colombia,,Choachí Colombia,nan,nan
Chocontá,Colombia,,Chocontá Colombia,nan,nan
Cogua,Colombia,,Cogua Colombia,nan,nan
Cota,Colombia,,Cota Colombia,nan,nan
Cucunubá,Colombia,,Cucunubá Colombia,nan,nan
El Colegio,Colombia,,El Colegio Colombia,nan,nan
El Rosal,Colombia,,El Rosal Colombia,nan,nan
Facatativá,Colombia,,Facatativá Colombia,nan,nan
Fómeque,Colombia,,Fómeque Colombia,nan,nan
Fosca,Colombia,,Fosca Colombia,nan,nan
Funza,Colombia,,Funza Colombia,nan,nan
Fúquene,Colombia,,Fúquene Colombia,nan,nan
Fusagasugá,Colombia,,Fusagasugá Colombia,nan,nan
Gachalá,Colombia,,Gachalá Colombia,nan,nan
Gachancipá,Colombia,,Gachancipá Colombia,nan,nan
Gachetá,Colombia,,Gachetá Colombia,nan,nan
Gama,Colombia,,Gama Colombia,nan,nan
Girardot,Colombia,,Girardot Colombia,nan,nan
Guachetá,Colombia,,Guachetá Colombia,nan,nan
Guaduas,Colombia,,Guaduas Colombia,nan,nan
Guasca,Colombia,,Guasca Colombia,nan,nan
Guataquí,Colombia,,Guataquí Colombia,nan,nan
Guatavita,Colombia,,Guatavita Colombia,nan,nan
Guayabal de Síquima,Colombia,,Guayabal de Síquima Colombia,nan,nan
Guayabetal,Colombia,,Guayabetal Colombia,nan,nan
Gutiérrez,Colombia,,Gutiérrez Colombia,nan,nan
Jerusalén,Colombia,,Jerusalén Colombia,nan,nan
Junín,Colombia,,Junín Colombia,nan,nan
La Calera,Colombia,,La Calera Colombia,nan,nan
La Mesa,Colombia,,La Mesa Colombia,nan,nan
La Palma,Colombia,,La Palma Colombia,nan,nan
La Peña,Colombia,,La Peña Colombia,nan,nan
Lenguazaque,Colombia,,Lenguazaque Colombia,nan,nan
Machetá,Colombia,,Machetá Colombia,nan,nan
Madrid,Colombia,,Madrid Colombia,nan,nan
Manta,Colombia,,Manta Colombia,nan,nan
Medina,Colombia,,Medina Colombia,nan,nan
Mosquera,Colombia,,Mosquera Colombia,nan,nan
Nemocón,Colombia,,Nemocón Colombia,nan,nan
Nilo,Colombia,,Nilo Colombia,nan,nan
Nimaima,Colombia,,Nimaima Colombia,nan,nan
Nocaima,Colombia,,Nocaima Colombia,nan,nan
Pacho,Colombia,,Pacho Colombia,nan,nan
Paime,Colombia,,Paime Colombia,nan,nan
Pandi,Colombia,,Pandi Colombia,nan,nan
Paratebueno,Colombia,,Paratebueno Colombia,nan,nan
Pasca,Colombia,,Pasca Colombia,nan,nan
Puerto Salgar,Colombia,,Puerto Salgar Colombia,nan,nan
Pulí,Colombia,,Pulí Colombia,nan,nan
Quebradanegra,Colombia,,Quebradanegra Colombia,nan,nan
Quetame,Colombia,,Quetame Colombia,nan,nan
Quipile,Colombia,,Quipile Colombia,nan,nan
Ricaurte,Colombia,,Ricaurte Colombia,nan,nan
San Antonio del Tequendama,Colombia,,San Antonio del Tequendama Colombia,nan,nan
San Bernardo,Colombia,,San Bernardo Colombia,nan,nan
San Cayetano,Colombia,,San Cayetano Colombia,nan,nan
San Juan de Rioseco,Colombia,,San Juan de Rioseco Colombia,nan,nan
Sasaima,Colombia,,Sasaima Colombia,nan,nan
Sesquilé,Colombia,,Sesquilé Colombia,nan,nan
Sibaté,Colombia,,Sibaté Colombia,nan,nan
Silvania,Colombia,,Silvania Colombia,nan,nan
Simijaca,Colombia,,Simijaca Colombia,nan,nan
Soacha,Colombia,,Soacha Colombia,nan,nan
Sopó,Colombia,,Sopó Colombia,nan,nan
Subachoque,Colombia,,Subachoque Colombia,nan,nan
Suesca,Colombia,,Suesca Colombia,nan,nan
Supatá,Colombia,,Supatá Colombia,nan,nan
Susa,Colombia,,Susa Colombia,nan,nan
Sutatausa,Colombia,,Sutatausa Colombia,nan,nan
Tabio,Colombia,,Tabio Colombia,nan,nan
Tausa,Colombia,,Tausa Colombia,nan,nan
Tena,Colombia,,Tena Colombia,nan,nan
Tenjo,Colombia,,Tenjo Colombia,nan,nan
Tibacuy,Colombia,,Tibacuy Colombia,nan,nan
Tibiritá,Colombia,,Tibiritá Colombia,nan,nan
Tocaima,Colombia,,Tocaima Colombia,nan,nan
Tocancipá,Colombia,,Tocancipá Colombia,nan,nan
Topaipí,Colombia,,Topaipí Colombia,nan,nan
Ubalá,Colombia,,Ubalá Colombia,nan,nan
Ubaque,Colombia,,Ubaque Colombia,nan,nan
Ubaté,Colombia,,Ubaté Colombia,nan,nan
Une,Colombia,,Une Colombia,nan,nan
Útica,Colombia,,Útica Colombia,nan,nan
Vergara,Colombia,,Vergara Colombia,nan,nan
Vianí,Colombia,,Vianí Colombia,nan,nan
Villagómez,Colombia,,Villagómez Colombia,nan,nan
